month,region,bu,product_line,otif,lead_time_days,stockouts,backorders,supplier_delay_days
2025-08,EMEA,Core,ServicesPlus,0.945,13,1,1,1.7
2025-08,EMEA,Growth,Alpha,0.916,24,0,5,1.1
2025-08,EMEA,Growth,Beta,0.912,24,0,2,0.7
2025-08,EMEA,Growth,Gamma,0.915,24,0,1,1.3
2025-08,EMEA,Growth,ServicesPlus,0.896,28,3,1,1.6
2025-08,EMEA,Services,Alpha,0.959,11,3,2,0.7
2025-08,EMEA,Services,Beta,0.969,8,3,8,0.4
2025-08,EMEA,Services,Gamma,0.942,11,1,2,3.3
2025-08,EMEA,Services,ServicesPlus,0.952,10,2,2,1.1
2025-08,APAC,Core,Alpha,0.958,23,2,3,3.0
2025-08,APAC,Core,Beta,0.943,16,2,1,3.8
2025-08,APAC,Core,Gamma,0.837,26,5,13,8.5
2025-08,APAC,Core,ServicesPlus,0.944,18,0,3,1.4
2025-08,APAC,Growth,Alpha,0.899,23,4,4,1.0
2025-08,APAC,Growth,Beta,0.926,21,0,2,0.0
2025-08,APAC,Growth,Gamma,0.811,32,7,13,7.3
2025-08,APAC,Growth,ServicesPlus,0.925,21,1,5,1.1
2025-08,APAC,Services,Alpha,0.944,13,0,2,2.0
2025-08,APAC,Services,Beta,0.961,8,0,4,2.2
2025-08,APAC,Services,Gamma,0.864,20,8,12,10.1
2025-08,APAC,Services,ServicesPlus,0.969,10,1,6,2.4
2025-11,NA,Core,Alpha,0.936,17,2,1,0.6
2025-11,NA,Core,Beta,0.963,16,1,3,0.0
2025-11,NA,Core,Gamma,0.976,18,1,3,2.5
2025-11,NA,Core,ServicesPlus,0.925,14,4,1,2.8
2025-11,NA,Growth,Alpha,0.936,26,3,0,0.8
2025-11,NA,Growth,Beta,0.909,21,3,2,0.8
2025-11,NA,Growth,Gamma,0.909,23,0,1,0.0
2025-11,NA,Growth,ServicesPlus,0.892,12,2,4,1.7
2025-11,NA,Services,Alpha,0.947,10,4,3,0.7
2025-11,NA,Services,Beta,0.983,13,2,2,3.1
2025-11,NA,Services,Gamma,0.967,15,1,2,1.5
2025-11,NA,Services,ServicesPlus,0.933,6,0,3,1.6
2025-11,EMEA,Core,Alpha,0.938,16,1,1,1.1
2025-11,EMEA,Core,Beta,0.918,21,2,3,1.0
2025-11,EMEA,Core,Gamma,0.953,18,3,1,1.2
2025-11,EMEA,Core,ServicesPlus,0.919,16,3,0,0.5
2025-11,EMEA,Growth,Alpha,0.939,28,2,4,2.8
2025-11,EMEA,Growth,Beta,0.899,22,0,2,2.3
2025-11,EMEA,Growth,Gamma,0.913,22,1,2,0.7
2025-11,EMEA,Growth,ServicesPlus,0.93,24,2,3,2.6
2025-11,EMEA,Services,Alpha,0.961,7,4,4,1.5
2025-11,EMEA,Services,Beta,0.956,10,3,1,1.3
2025-11,EMEA,Services,Gamma,0.965,13,1,2,2.5
2025-11,EMEA,Services,ServicesPlus,0.949,10,2,6,1.0
2025-11,APAC,Core,Alpha,0.954,17,3,1,0.0
2025-11,APAC,Core,Beta,0.946,20,2,3,1.6
2025-11,APAC,Core,Gamma,0.909,22,4,1,1.6
2025-11,APAC,Core,ServicesPlus,0.95,16,0,2,0.5
2025-11,APAC,Growth,Alpha,0.902,24,1,1,1.8
2025-11,APAC,Growth,Beta,0.91,25,1,1,4.9
2025-11,APAC,Growth,Gamma,0.908,21,3,3,2.6
2025-11,APAC,Growth,ServicesPlus,0.911,26,3,2,0.0
2025-11,APAC,Services,Alpha,0.961,9,2,6,1.1
2025-11,APAC,Services,Beta,0.975,12,1,5,1.1
2025-11,APAC,Services,Gamma,0.949,8,2,3,1.7
2025-11,APAC,Services,ServicesPlus,0.99,9,3,3,2.8
