month,region,bu,product_line,segment,metric,actual,plan,prior,currency
2024-10,NA,Services,ServicesPlus,SMB,revenue,1084696.85,1193238.98,1300851.74,USD
2024-10,NA,Services,ServicesPlus,SMB,gross_margin,378285.38,441498.42,494355.31,USD
2024-10,NA,Services,ServicesPlus,MidMarket,revenue,1103244.3,995164.5,925023.99,USD
2024-10,NA,Services,ServicesPlus,MidMarket,gross_margin,400873.7,368210.87,313373.85,USD
2024-10,NA,Services,ServicesPlus,Enterprise,revenue,460043.67,594223.43,678113.37,USD
2024-10,NA,Services,ServicesPlus,Enterprise,gross_margin,175990.51,219862.67,261904.19,USD
2024-10,EMEA,Core,Alpha,SMB,revenue,2657789.91,2609658.01,2537340.82,EUR
2024-10,EMEA,Core,Alpha,SMB,gross_margin,1861074.25,1826760.61,1805875.78,USD
2024-10,EMEA,Core,Alpha,MidMarket,revenue,1908156.73,2174715.01,2357492.08,EUR
2024-10,EMEA,Core,Alpha,MidMarket,gross_margin,1361877.69,1522300.51,1622372.58,USD
2024-10,EMEA,Core,Alpha,Enterprise,revenue,1254704.73,1297925.15,1235780.47,EUR
2024-10,EMEA,Core,Alpha,Enterprise,gross_margin,855660.48,908547.6,886928.44,USD
2024-10,EMEA,Core,Beta,SMB,revenue,1657680.11,1905761.91,1928384.64,EUR
2024-10,EMEA,Core,Beta,SMB,gross_margin,1178304.91,1276860.48,1311015.3,USD
2024-10,EMEA,Core,Beta,MidMarket,revenue,1406303.56,1588134.92,1363418.9,EUR
2024-10,EMEA,Core,Beta,MidMarket,gross_margin,964330.81,1064050.4,893812.38,USD
2024-10,EMEA,Core,Beta,Enterprise,revenue,1064364.33,947839.26,799648.55,EUR
2024-10,EMEA,Core,Beta,Enterprise,gross_margin,696205.08,635052.3,544274.26,USD
2024-10,EMEA,Core,Gamma,SMB,revenue,3034473.87,3177891.23,3113450.53,EUR
2024-10,EMEA,Core,Gamma,SMB,gross_margin,1937974.11,2002071.47,1978430.33,USD
2024-10,EMEA,Core,Gamma,MidMarket,revenue,2512288.57,2648242.69,2315855.26,EUR
2024-10,EMEA,Core,Gamma,MidMarket,gross_margin,1535491.29,1668392.89,1495109.18,USD
2024-10,EMEA,Core,Gamma,Enterprise,revenue,1522586.28,1580538.49,1416491.43,EUR
2024-10,EMEA,Core,Gamma,Enterprise,gross_margin,957275.98,995739.25,868684.93,USD
2024-10,EMEA,Core,ServicesPlus,SMB,revenue,1761517.71,1697740.36,1585746.63,EUR
2024-10,EMEA,Core,ServicesPlus,SMB,gross_margin,1053683.69,1035621.62,983793.55,USD
2024-10,EMEA,Core,ServicesPlus,MidMarket,revenue,1484556.13,1414783.64,1412116.0,EUR
2024-10,EMEA,Core,ServicesPlus,MidMarket,gross_margin,902670.64,863018.02,865335.5,USD
2024-10,EMEA,Core,ServicesPlus,Enterprise,revenue,721458.79,844378.8,952588.01,EUR
2024-10,EMEA,Core,ServicesPlus,Enterprise,gross_margin,433475.21,515071.07,588363.19,USD
2024-10,EMEA,Growth,Alpha,SMB,revenue,2441485.78,2267610.35,2333509.94,EUR
2024-10,EMEA,Growth,Alpha,SMB,gross_margin,1367026.8,1292537.9,1322298.89,USD
2024-10,EMEA,Growth,Alpha,MidMarket,revenue,1735967.96,1895974.21,1636886.71,EUR
2024-10,EMEA,Growth,Alpha,MidMarket,gross_margin,1007206.85,1080705.3,986874.23,USD
2024-10,EMEA,Growth,Alpha,Enterprise,revenue,1031112.39,1133805.18,1155815.45,EUR
2024-10,EMEA,Growth,Alpha,Enterprise,gross_margin,580781.21,646268.95,623405.31,USD
2024-10,EMEA,Growth,Beta,SMB,revenue,1582652.48,1471181.4,1496334.24,EUR
2024-10,EMEA,Growth,Beta,SMB,gross_margin,853493.27,794437.96,799875.01,USD
2024-10,EMEA,Growth,Beta,MidMarket,revenue,1104668.51,1230071.12,1301523.34,EUR
2024-10,EMEA,Growth,Beta,MidMarket,gross_margin,585006.27,664238.4,739388.21,USD
2024-10,EMEA,Growth,Beta,Enterprise,revenue,824263.76,735590.7,645313.61,EUR
2024-10,EMEA,Growth,Beta,Enterprise,gross_margin,453030.1,397218.98,344584.97,USD
2024-10,EMEA,Growth,Gamma,SMB,revenue,3418687.0,3299037.04,3197476.74,EUR
2024-10,EMEA,Growth,Gamma,SMB,gross_margin,1710968.56,1649518.52,1462122.18,USD
2024-10,EMEA,Growth,Gamma,MidMarket,revenue,2523033.69,2758361.53,2760922.23,EUR
2024-10,EMEA,Growth,Gamma,MidMarket,gross_margin,1286628.82,1379180.76,1397258.39,USD
2024-10,EMEA,Growth,Gamma,Enterprise,revenue,1602421.61,1649518.52,1593561.31,EUR
2024-10,EMEA,Growth,Gamma,Enterprise,gross_margin,763327.7,824759.26,803745.21,USD
2024-10,EMEA,Growth,ServicesPlus,SMB,revenue,2599209.96,2724627.39,3030469.4,EUR
2024-10,EMEA,Growth,ServicesPlus,SMB,gross_margin,1212492.32,1307821.15,1466527.42,USD
2024-10,EMEA,Growth,ServicesPlus,MidMarket,revenue,2143052.02,2278091.24,2104870.36,EUR
2024-10,EMEA,Growth,ServicesPlus,MidMarket,gross_margin,1004828.76,1093483.79,1009026.08,USD
2024-10,EMEA,Growth,ServicesPlus,Enterprise,revenue,1422965.01,1362313.7,1377673.8,EUR
2024-10,EMEA,Growth,ServicesPlus,Enterprise,gross_margin,659680.8,653910.57,656482.57,USD
2024-10,EMEA,Services,Alpha,SMB,revenue,3331549.85,2988581.62,3006275.53,EUR
2024-10,EMEA,Services,Alpha,SMB,gross_margin,1493545.21,1374747.54,1341988.19,USD
2024-10,EMEA,Services,Alpha,MidMarket,revenue,2295147.36,2492485.07,2413010.79,EUR
2024-10,EMEA,Services,Alpha,MidMarket,gross_margin,1064705.61,1146543.13,1093747.37,USD
2024-10,EMEA,Services,Alpha,Enterprise,revenue,1529369.59,1488289.64,1270892.03,EUR
2024-10,EMEA,Services,Alpha,Enterprise,gross_margin,655983.68,684613.23,568354.33,USD
2024-10,EMEA,Services,Beta,SMB,revenue,3256440.9,3383869.76,3484570.59,EUR
2024-10,EMEA,Services,Beta,SMB,gross_margin,1408778.05,1455064.0,1509153.33,USD
2024-10,EMEA,Services,Beta,MidMarket,revenue,2487711.35,2822156.44,3004916.73,EUR
2024-10,EMEA,Services,Beta,MidMarket,gross_margin,1023580.7,1213527.27,1360100.6,USD
2024-10,EMEA,Services,Beta,Enterprise,revenue,1614322.88,1685139.96,1848112.89,EUR
2024-10,EMEA,Services,Beta,Enterprise,gross_margin,728692.33,724610.18,765791.24,USD
2024-10,EMEA,Services,Gamma,SMB,revenue,2449789.04,3041535.13,2751998.02,EUR
2024-10,EMEA,Services,Gamma,SMB,gross_margin,999976.13,1186198.7,995970.01,USD
2024-10,EMEA,Services,Gamma,MidMarket,revenue,2337049.29,2536648.45,2568572.73,EUR
2024-10,EMEA,Services,Gamma,MidMarket,gross_margin,854210.96,989292.89,1053453.8,USD
2024-10,EMEA,Services,Gamma,Enterprise,revenue,1525391.46,1514660.07,1605617.37,EUR
2024-10,EMEA,Services,Gamma,Enterprise,gross_margin,637441.18,590717.43,619964.14,USD
2024-10,EMEA,Services,ServicesPlus,SMB,revenue,1466466.82,1365125.78,1448292.93,EUR
2024-10,EMEA,Services,ServicesPlus,SMB,gross_margin,558233.13,505096.54,535830.02,USD
2024-10,EMEA,Services,ServicesPlus,MidMarket,revenue,1221593.69,1138518.56,1234547.35,EUR
2024-10,EMEA,Services,ServicesPlus,MidMarket,gross_margin,421980.33,421251.87,474683.59,USD
2024-10,EMEA,Services,ServicesPlus,Enterprise,revenue,673718.55,679821.67,742057.52,EUR
2024-10,EMEA,Services,ServicesPlus,Enterprise,gross_margin,250589.89,251534.02,272902.38,USD
2024-10,APAC,Core,Alpha,SMB,revenue,1344129.66,1321755.0,1467787.94,USD
2024-10,APAC,Core,Alpha,SMB,gross_margin,932941.62,925228.5,995113.41,USD
2024-10,APAC,Core,Alpha,MidMarket,revenue,1310265.94,1101462.5,1123143.51,USD
2024-10,APAC,Core,Alpha,MidMarket,gross_margin,917335.93,771023.75,794268.01,USD
2024-10,APAC,Core,Alpha,Enterprise,revenue,632345.16,657380.79,614855.14,USD
2024-10,APAC,Core,Alpha,Enterprise,gross_margin,438923.1,460166.56,418467.53,USD
2024-10,APAC,Core,Beta,SMB,revenue,3237758.98,3375067.48,2990996.87,USD
2024-10,APAC,Core,Beta,SMB,gross_margin,2140632.3,2261295.21,1996103.33,USD
2024-10,APAC,Core,Beta,MidMarket,revenue,3023532.9,2812556.23,2818923.03,USD
2024-10,APAC,Core,Beta,MidMarket,gross_margin,2016155.41,1884412.68,1979606.05,USD
2024-10,APAC,Core,Beta,Enterprise,revenue,1557703.22,1678604.99,1919780.72,USD
2024-10,APAC,Core,Beta,Enterprise,gross_margin,1048841.25,1124665.34,1264101.52,USD
2024-10,APAC,Core,Gamma,SMB,revenue,1801415.83,1759639.35,1626206.91,USD
2024-10,APAC,Core,Gamma,SMB,gross_margin,1085734.29,1108572.79,1055153.03,USD
2024-10,APAC,Core,Gamma,MidMarket,revenue,1417035.68,1466366.13,1394847.34,USD
2024-10,APAC,Core,Gamma,MidMarket,gross_margin,915359.55,923810.66,887820.08,USD
2024-10,APAC,Core,Gamma,Enterprise,revenue,777455.79,875164.54,784827.2,USD
2024-10,APAC,Core,Gamma,Enterprise,gross_margin,478579.14,551353.66,512014.46,USD
2024-10,APAC,Core,ServicesPlus,SMB,revenue,2926042.07,3089065.15,2899937.91,USD
2024-10,APAC,Core,ServicesPlus,SMB,gross_margin,1770120.14,1884329.74,1684383.07,USD
2024-10,APAC,Core,ServicesPlus,MidMarket,revenue,2332907.34,2574220.96,2672222.7,USD
2024-10,APAC,Core,ServicesPlus,MidMarket,gross_margin,1426941.91,1570274.79,1480792.73,USD
2024-10,APAC,Core,ServicesPlus,Enterprise,revenue,1149060.91,1536360.45,1722686.1,USD
2024-10,APAC,Core,ServicesPlus,Enterprise,gross_margin,722242.81,937179.87,1037666.8,USD
2024-10,APAC,Growth,Alpha,SMB,revenue,1744557.33,1797888.85,1746430.73,USD
2024-10,APAC,Growth,Alpha,SMB,gross_margin,958844.43,1024796.64,974315.65,USD
2024-10,APAC,Growth,Alpha,MidMarket,revenue,1408329.97,1503234.84,1514455.06,USD
2024-10,APAC,Growth,Alpha,MidMarket,gross_margin,765756.14,856843.86,894472.07,USD
2024-10,APAC,Growth,Alpha,Enterprise,revenue,871430.09,898944.42,1044336.31,USD
2024-10,APAC,Growth,Alpha,Enterprise,gross_margin,477465.66,512398.32,591026.51,USD
2024-10,APAC,Growth,Beta,SMB,revenue,2463265.19,2556898.65,2349581.5,USD
2024-10,APAC,Growth,Beta,SMB,gross_margin,1283776.63,1380725.27,1263848.04,USD
2024-10,APAC,Growth,Beta,MidMarket,revenue,1941731.14,2137851.37,2280241.83,USD
2024-10,APAC,Growth,Beta,MidMarket,gross_margin,1051713.1,1154439.74,1230397.37,USD
2024-10,APAC,Growth,Beta,Enterprise,revenue,1282223.44,1278449.32,1054568.5,USD
2024-10,APAC,Growth,Beta,Enterprise,gross_margin,741624.32,690362.63,540988.88,USD
2024-10,APAC,Growth,Gamma,SMB,revenue,3751013.74,3505108.08,4077096.49,USD
2024-10,APAC,Growth,Gamma,SMB,gross_margin,1797488.06,1752554.04,2055219.16,USD
2024-10,APAC,Growth,Gamma,MidMarket,revenue,2717508.96,2930659.81,2682155.55,USD
2024-10,APAC,Growth,Gamma,MidMarket,gross_margin,1438604.33,1465329.91,1300445.3,USD
2024-10,APAC,Growth,Gamma,Enterprise,revenue,1780840.84,1752554.04,1760957.76,USD
2024-10,APAC,Growth,Gamma,Enterprise,gross_margin,908153.04,876277.02,844339.33,USD
2024-10,APAC,Growth,ServicesPlus,SMB,revenue,2581614.72,3022540.54,2991766.56,USD
2024-10,APAC,Growth,ServicesPlus,SMB,gross_margin,1297096.8,1450819.46,1428742.79,USD
2024-10,APAC,Growth,ServicesPlus,MidMarket,revenue,2569657.16,2527179.73,2764176.3,USD
2024-10,APAC,Growth,ServicesPlus,MidMarket,gross_margin,1199145.3,1213046.27,1279083.95,USD
2024-10,APAC,Growth,ServicesPlus,Enterprise,revenue,1336936.94,1511270.27,1458011.89,USD
2024-10,APAC,Growth,ServicesPlus,Enterprise,gross_margin,659647.71,725409.73,682477.33,USD
2024-10,APAC,Services,Alpha,SMB,revenue,3185960.22,3086745.45,3312719.79,USD
2024-10,APAC,Services,Alpha,SMB,gross_margin,1512784.25,1419902.9,1494950.79,USD
2024-10,APAC,Services,Alpha,MidMarket,revenue,2757862.23,2574353.97,2808473.32,USD
2024-10,APAC,Services,Alpha,MidMarket,gross_margin,1333714.89,1184202.82,1323988.88,USD
2024-10,APAC,Services,Alpha,Enterprise,revenue,1903196.49,1537174.44,1484012.84,USD
2024-10,APAC,Services,Alpha,Enterprise,gross_margin,886417.91,707100.24,685600.58,USD
2024-10,APAC,Services,Beta,SMB,revenue,2581887.73,2548092.9,2509765.88,USD
2024-10,APAC,Services,Beta,SMB,gross_margin,1076746.16,1095679.95,1010822.9,USD
2024-10,APAC,Services,Beta,MidMarket,revenue,2046766.64,2125116.3,1975769.41,USD
2024-10,APAC,Services,Beta,MidMarket,gross_margin,892525.86,913800.01,854915.04,USD
2024-10,APAC,Services,Beta,Enterprise,revenue,1401015.05,1268929.8,1345790.9,USD
2024-10,APAC,Services,Beta,Enterprise,gross_margin,602370.51,545639.81,542876.42,USD
2024-10,APAC,Services,Gamma,SMB,revenue,2234364.68,2795385.91,3280169.18,USD
2024-10,APAC,Services,Gamma,SMB,gross_margin,921301.37,1090200.5,1221650.44,USD
2024-10,APAC,Services,Gamma,MidMarket,revenue,2316781.23,2331359.33,2359986.88,USD
2024-10,APAC,Services,Gamma,MidMarket,gross_margin,944309.88,909230.14,888722.48,USD
2024-10,APAC,Services,Gamma,Enterprise,revenue,1510270.45,1392079.73,1465355.8,USD
2024-10,APAC,Services,Gamma,Enterprise,gross_margin,584806.99,542911.09,587750.78,USD
2024-10,APAC,Services,ServicesPlus,SMB,revenue,2459993.89,2353668.52,2396924.61,USD
2024-10,APAC,Services,ServicesPlus,SMB,gross_margin,881685.54,870857.35,879487.57,USD
2024-10,APAC,Services,ServicesPlus,MidMarket,revenue,2464202.88,1962965.85,1838667.6,USD
2024-10,APAC,Services,ServicesPlus,MidMarket,gross_margin,892635.38,726297.36,686152.79,USD
2024-10,APAC,Services,ServicesPlus,Enterprise,revenue,1233302.68,1172108.02,1091672.41,USD
2024-10,APAC,Services,ServicesPlus,Enterprise,gross_margin,457909.83,433679.97,403163.05,USD
2025-03,NA,Core,Alpha,SMB,revenue,1740667.04,1730375.41,1892813.36,USD
2025-03,NA,Core,Alpha,SMB,gross_margin,1224712.18,1211262.79,1331800.67,USD
2025-03,NA,Core,Alpha,MidMarket,revenue,1249501.77,1441979.51,1464215.58,USD
2025-03,NA,Core,Alpha,MidMarket,gross_margin,863660.73,1009385.66,1026968.56,USD
2025-03,NA,Core,Alpha,Enterprise,revenue,830687.43,860609.99,831276.83,USD
2025-03,NA,Core,Alpha,Enterprise,gross_margin,587916.51,602427.0,570149.05,USD
2025-03,NA,Core,Beta,SMB,revenue,2654604.3,2665692.72,2925491.24,USD
2025-03,NA,Core,Beta,SMB,gross_margin,1809093.72,1786014.12,1987817.7,USD
2025-03,NA,Core,Beta,MidMarket,revenue,1816552.48,2221410.6,1863761.09,USD
2025-03,NA,Core,Beta,MidMarket,gross_margin,1231408.25,1488345.1,1208511.14,USD
2025-03,NA,Core,Beta,Enterprise,revenue,1249412.73,1325794.26,1180016.79,USD
2025-03,NA,Core,Beta,Enterprise,gross_margin,820564.94,888282.16,821067.6,USD
2025-03,NA,Core,Gamma,SMB,revenue,1478776.95,1429966.87,1464656.44,USD
2025-03,NA,Core,Gamma,SMB,gross_margin,921068.17,900879.13,951410.54,USD
2025-03,NA,Core,Gamma,MidMarket,revenue,1218236.83,1191639.05,980126.93,USD
2025-03,NA,Core,Gamma,MidMarket,gross_margin,753843.96,750732.6,622605.31,USD
2025-03,NA,Core,Gamma,Enterprise,revenue,755459.31,711200.45,723746.02,USD
2025-03,NA,Core,Gamma,Enterprise,gross_margin,485329.74,448056.28,441001.05,USD
2025-03,NA,Core,ServicesPlus,SMB,revenue,1129693.87,1198452.77,1219359.11,USD
2025-03,NA,Core,ServicesPlus,SMB,gross_margin,709032.49,731056.19,743076.25,USD
2025-03,NA,Core,ServicesPlus,MidMarket,revenue,1016088.9,998710.64,839788.78,USD
2025-03,NA,Core,ServicesPlus,MidMarket,gross_margin,606982.23,609213.49,516639.15,USD
2025-03,NA,Core,ServicesPlus,Enterprise,revenue,600137.41,596055.87,675574.81,USD
2025-03,NA,Core,ServicesPlus,Enterprise,gross_margin,375943.27,363594.08,411474.97,USD
2025-03,NA,Growth,Alpha,SMB,revenue,1762248.68,1738904.02,1589544.91,USD
2025-03,NA,Growth,Alpha,SMB,gross_margin,1018994.05,991175.29,881727.24,USD
2025-03,NA,Growth,Alpha,MidMarket,revenue,1434415.96,1453916.97,1461768.38,USD
2025-03,NA,Growth,Alpha,MidMarket,gross_margin,814927.13,828732.68,845273.34,USD
2025-03,NA,Growth,Alpha,Enterprise,revenue,796024.04,869452.01,912986.64,USD
2025-03,NA,Growth,Alpha,Enterprise,gross_margin,437496.34,495587.65,507298.75,USD
2025-03,NA,Growth,Beta,SMB,revenue,4415890.88,4178635.79,3946570.88,USD
2025-03,NA,Growth,Beta,SMB,gross_margin,2282677.33,2256463.33,2127911.15,USD
2025-03,NA,Growth,Beta,MidMarket,revenue,3370946.94,3493803.81,3264738.88,USD
2025-03,NA,Growth,Beta,MidMarket,gross_margin,1853819.41,1886654.06,1726674.44,USD
2025-03,NA,Growth,Beta,Enterprise,revenue,2138387.89,2089317.9,1916134.08,USD
2025-03,NA,Growth,Beta,Enterprise,gross_margin,1111721.28,1128231.66,1062619.42,USD
2025-03,NA,Growth,Gamma,SMB,revenue,3738148.62,3845810.27,3419559.97,USD
2025-03,NA,Growth,Gamma,SMB,gross_margin,1796363.91,1922905.13,1604977.19,USD
2025-03,NA,Growth,Gamma,MidMarket,revenue,3120698.37,3215524.7,2923644.91,USD
2025-03,NA,Growth,Gamma,MidMarket,gross_margin,1672361.03,1607762.35,1546791.63,USD
2025-03,NA,Growth,Gamma,Enterprise,revenue,2021535.12,1922905.13,1881163.3,USD
2025-03,NA,Growth,Gamma,Enterprise,gross_margin,987243.55,961452.57,913582.34,USD
2025-03,NA,Growth,ServicesPlus,SMB,revenue,1070169.21,1204854.71,1227357.52,USD
2025-03,NA,Growth,ServicesPlus,SMB,gross_margin,523812.1,578330.26,621498.45,USD
2025-03,NA,Growth,ServicesPlus,MidMarket,revenue,1040583.15,1007392.41,1030996.32,USD
2025-03,NA,Growth,ServicesPlus,MidMarket,gross_margin,496487.67,483548.36,516872.38,USD
2025-03,NA,Growth,ServicesPlus,Enterprise,revenue,599036.36,602427.36,601892.0,USD
2025-03,NA,Growth,ServicesPlus,Enterprise,gross_margin,290955.4,289165.13,293918.19,USD
2025-03,NA,Services,Alpha,SMB,revenue,1087174.66,1175538.03,1024682.89,USD
2025-03,NA,Services,Alpha,SMB,gross_margin,491952.19,540747.5,444753.77,USD
2025-03,NA,Services,Alpha,MidMarket,revenue,942006.66,980401.87,884114.13,USD
2025-03,NA,Services,Alpha,MidMarket,gross_margin,414911.03,450984.86,388945.71,USD
2025-03,NA,Services,Alpha,Enterprise,revenue,531893.04,585408.5,490040.82,USD
2025-03,NA,Services,Alpha,Enterprise,gross_margin,247840.37,269287.91,225452.58,USD
2025-03,NA,Services,Beta,SMB,revenue,2921132.06,2551138.19,2914371.91,USD
2025-03,NA,Services,Beta,SMB,gross_margin,1289269.52,1096989.42,1268554.7,USD
2025-03,NA,Services,Beta,MidMarket,revenue,2199774.94,2127656.08,2069882.85,USD
2025-03,NA,Services,Beta,MidMarket,gross_margin,891314.16,914892.12,873877.47,USD
2025-03,NA,Services,Beta,Enterprise,revenue,1378775.74,1270446.33,1248280.98,USD
2025-03,NA,Services,Beta,Enterprise,gross_margin,600614.49,546291.92,560190.85,USD
2025-03,NA,Services,Gamma,SMB,revenue,1818835.59,2186176.63,2302326.65,USD
2025-03,NA,Services,Gamma,SMB,gross_margin,690780.71,852608.88,913548.15,USD
2025-03,NA,Services,Gamma,MidMarket,revenue,1715581.78,1823277.16,1666594.57,USD
2025-03,NA,Services,Gamma,MidMarket,gross_margin,647177.72,711078.09,639306.24,USD
2025-03,NA,Services,Gamma,Enterprise,revenue,1044406.77,1088698.4,1131425.22,USD
2025-03,NA,Services,Gamma,Enterprise,gross_margin,413598.69,424592.38,433033.2,USD
2025-03,NA,Services,ServicesPlus,SMB,revenue,1332399.31,1262788.96,1290529.71,USD
2025-03,NA,Services,ServicesPlus,SMB,gross_margin,464101.47,467231.91,496735.14,USD
2025-03,NA,Services,ServicesPlus,MidMarket,revenue,1076624.25,1053169.37,1196550.23,USD
2025-03,NA,Services,ServicesPlus,MidMarket,gross_margin,409780.54,389672.67,445969.34,USD
2025-03,NA,Services,ServicesPlus,Enterprise,revenue,657217.16,628858.76,608387.12,USD
2025-03,NA,Services,ServicesPlus,Enterprise,gross_margin,232843.74,232677.74,232877.09,USD
2025-03,EMEA,Core,Alpha,SMB,revenue,2899171.24,2742410.95,2953389.83,EUR
2025-03,EMEA,Core,Alpha,SMB,gross_margin,1972295.76,1919687.66,2096279.15,USD
2025-03,EMEA,Core,Alpha,MidMarket,revenue,2308562.16,2285342.45,2158114.14,EUR
