month,region,bu,product_line,shipped_units,fulfillment_rate
2023-05,EMEA,Core,Gamma,311,0.949
2023-05,EMEA,Core,ServicesPlus,169,0.92
2023-05,EMEA,Growth,Alpha,226,0.951
2023-05,EMEA,Growth,Beta,150,0.99
2023-05,EMEA,Growth,Gamma,301,0.904
2023-05,EMEA,Growth,ServicesPlus,268,0.927
2023-05,EMEA,Services,Alpha,294,0.895
2023-05,EMEA,Services,Beta,337,0.927
2023-05,EMEA,Services,Gamma,301,0.935
2023-05,EMEA,Services,ServicesPlus,137,0.907
2023-05,APAC,Core,Alpha,145,0.973
2023-05,APAC,Core,Beta,351,0.943
2023-05,APAC,Core,Gamma,169,0.886
2023-05,APAC,Core,ServicesPlus,319,0.907
2023-05,APAC,Growth,Alpha,175,0.879
2023-05,APAC,Growth,Beta,260,0.939
2023-05,APAC,Growth,Gamma,344,0.921
2023-05,APAC,Growth,ServicesPlus,307,0.909
2023-05,APAC,Services,Alpha,327,0.917
2023-05,APAC,Services,Beta,270,0.935
2023-05,APAC,Services,Gamma,289,0.927
2023-05,APAC,Services,ServicesPlus,268,0.975
2023-06,NA,Core,Alpha,172,0.956
2023-06,NA,Core,Beta,245,0.903
2023-06,NA,Core,Gamma,135,0.947
2023-06,NA,Core,ServicesPlus,110,0.869
2023-06,NA,Growth,Alpha,163,0.932
2023-06,NA,Growth,Beta,364,0.888
2023-06,NA,Growth,Gamma,349,0.941
2023-06,NA,Growth,ServicesPlus,116,0.942
2023-06,NA,Services,Alpha,110,0.873
2023-06,NA,Services,Beta,241,0.903
2023-06,NA,Services,Gamma,215,0.957
2023-06,NA,Services,ServicesPlus,126,0.917
2023-06,EMEA,Core,Alpha,246,0.911
2023-06,EMEA,Core,Beta,185,0.955
2023-06,EMEA,Core,Gamma,305,0.959
2023-06,EMEA,Core,ServicesPlus,162,0.912
2023-06,EMEA,Growth,Alpha,210,0.911
2023-06,EMEA,Growth,Beta,134,0.914
2023-06,EMEA,Growth,Gamma,295,0.907
2023-06,EMEA,Growth,ServicesPlus,267,0.951
2023-06,EMEA,Services,Alpha,298,0.941
2023-06,EMEA,Services,Beta,311,0.884
2023-06,EMEA,Services,Gamma,284,0.912
2023-06,EMEA,Services,ServicesPlus,133,0.908
2023-06,APAC,Core,Alpha,141,0.976
2023-06,APAC,Core,Beta,335,0.926
2023-06,APAC,Core,Gamma,178,0.957
2023-06,APAC,Core,ServicesPlus,313,0.918
2023-06,APAC,Growth,Alpha,179,0.928
2023-06,APAC,Growth,Beta,249,0.924
2023-06,APAC,Growth,Gamma,339,0.931
2023-06,APAC,Growth,ServicesPlus,325,0.99
2023-06,APAC,Services,Alpha,328,0.951
2023-06,APAC,Services,Beta,252,0.903
2023-06,APAC,Services,Gamma,275,0.912
2023-06,APAC,Services,ServicesPlus,245,0.921
2023-07,NA,Core,Alpha,170,0.934
2023-07,NA,Core,Beta,262,0.961
2023-07,NA,Core,Gamma,133,0.922
2023-07,NA,Core,ServicesPlus,112,0.881
2023-07,NA,Growth,Alpha,174,0.983
2023-07,NA,Growth,Beta,386,0.928
2023-07,NA,Growth,Gamma,351,0.934
2023-07,NA,Growth,ServicesPlus,121,0.975
2023-07,NA,Services,Alpha,111,0.873
2023-07,NA,Services,Beta,246,0.917
2023-07,NA,Services,Gamma,204,0.904
2023-07,NA,Services,ServicesPlus,125,0.91
2023-07,EMEA,Core,Alpha,259,0.954
2023-07,EMEA,Core,Beta,174,0.894
2023-07,EMEA,Core,Gamma,306,0.955
2023-07,EMEA,Core,ServicesPlus,175,0.98
2023-07,EMEA,Growth,Alpha,220,0.941
2023-07,EMEA,Growth,Beta,134,0.9
2023-07,EMEA,Growth,Gamma,294,0.893
2023-07,EMEA,Growth,ServicesPlus,268,0.946
2023-07,EMEA,Services,Alpha,287,0.9
2023-07,EMEA,Services,Beta,319,0.901
2023-07,EMEA,Services,Gamma,291,0.926
2023-07,EMEA,Services,ServicesPlus,131,0.891
2023-07,APAC,Core,Alpha,132,0.905
2023-07,APAC,Core,Beta,354,0.97
2023-07,APAC,Core,Gamma,171,0.913
2023-07,APAC,Core,ServicesPlus,303,0.883
2023-07,APAC,Growth,Alpha,182,0.932
2023-07,APAC,Growth,Beta,269,0.984
2023-07,APAC,Growth,Gamma,364,0.985
2023-07,APAC,Growth,ServicesPlus,314,0.946
2023-07,APAC,Services,Alpha,316,0.908
2023-07,APAC,Services,Beta,265,0.941
2023-07,APAC,Services,Gamma,291,0.954
2023-07,APAC,Services,ServicesPlus,248,0.928
2023-08,NA,Core,Alpha,175,0.958
2023-08,NA,Core,Beta,259,0.941
2023-08,NA,Core,Gamma,138,0.95
2023-08,NA,Core,ServicesPlus,124,0.967
2023-08,NA,Growth,Alpha,165,0.924
2023-08,NA,Growth,Beta,410,0.975
2023-08,NA,Growth,Gamma,366,0.963
2023-08,NA,Growth,ServicesPlus,112,0.893
2023-08,NA,Services,Alpha,114,0.897
2023-08,NA,Services,Beta,259,0.957
2023-08,NA,Services,Gamma,216,0.947
2023-08,NA,Services,ServicesPlus,125,0.903
2023-08,EMEA,Core,Alpha,266,0.972
2023-08,EMEA,Core,Beta,180,0.918
2023-08,EMEA,Core,Gamma,298,0.922
2023-08,EMEA,Core,ServicesPlus,164,0.911
2023-08,EMEA,Growth,Alpha,229,0.972
2023-08,EMEA,Growth,Beta,143,0.948
2023-08,EMEA,Growth,Gamma,305,0.915
2023-08,EMEA,Growth,ServicesPlus,257,0.9
2023-08,EMEA,Services,Alpha,298,0.929
2023-08,EMEA,Services,Beta,326,0.915
2023-08,EMEA,Services,Gamma,290,0.916
2023-08,EMEA,Services,ServicesPlus,140,0.945
2023-08,APAC,Core,Alpha,136,0.929
2023-08,APAC,Core,Beta,344,0.933
2023-08,APAC,Core,Gamma,178,0.942
2023-08,APAC,Core,ServicesPlus,331,0.959
2023-08,APAC,Growth,Alpha,184,0.93
2023-08,APAC,Growth,Beta,248,0.898
2023-08,APAC,Growth,Gamma,345,0.921
2023-08,APAC,Growth,ServicesPlus,314,0.936
2023-08,APAC,Services,Alpha,319,0.91
2023-08,APAC,Services,Beta,271,0.954
2023-08,APAC,Services,Gamma,293,0.951
2023-08,APAC,Services,ServicesPlus,258,0.959
2023-09,NA,Core,Alpha,177,0.923
2023-09,NA,Core,Beta,256,0.886
2023-09,NA,Core,Gamma,149,0.974
2023-09,NA,Core,ServicesPlus,124,0.921
2023-09,NA,Growth,Alpha,176,0.934
2023-09,NA,Growth,Beta,431,0.972
2023-09,NA,Growth,Gamma,397,0.988
2023-09,NA,Growth,ServicesPlus,123,0.927
2023-09,NA,Services,Alpha,128,0.957
2023-09,NA,Services,Beta,261,0.917
2023-09,NA,Services,Gamma,220,0.917
2023-09,NA,Services,ServicesPlus,137,0.939
2023-09,EMEA,Core,Alpha,256,0.893
2023-09,EMEA,Core,Beta,193,0.935
2023-09,EMEA,Core,Gamma,312,0.917
2023-09,EMEA,Core,ServicesPlus,185,0.982
2023-09,EMEA,Growth,Alpha,223,0.899
2023-09,EMEA,Growth,Beta,146,0.921
2023-09,EMEA,Growth,Gamma,323,0.918
2023-09,EMEA,Growth,ServicesPlus,275,0.912
2023-09,EMEA,Services,Alpha,320,0.955
2023-09,EMEA,Services,Beta,330,0.881
2023-09,EMEA,Services,Gamma,304,0.915
2023-09,EMEA,Services,ServicesPlus,141,0.91
2023-09,APAC,Core,Alpha,145,0.941
2023-09,APAC,Core,Beta,383,0.99
2023-09,APAC,Core,Gamma,186,0.932
2023-09,APAC,Core,ServicesPlus,323,0.889
2023-09,APAC,Growth,Alpha,201,0.962
2023-09,APAC,Growth,Beta,258,0.883
2023-09,APAC,Growth,Gamma,372,0.939
2023-09,APAC,Growth,ServicesPlus,319,0.902
2023-09,APAC,Services,Alpha,354,0.964
2023-09,APAC,Services,Beta,276,0.923
2023-09,APAC,Services,Gamma,305,0.941
2023-09,APAC,Services,ServicesPlus,280,0.99
2023-10,NA,Core,Alpha,187,0.97
2023-10,NA,Core,Beta,264,0.907
2023-10,NA,Core,Gamma,145,0.941
2023-10,NA,Core,ServicesPlus,130,0.961
2023-10,NA,Growth,Alpha,178,0.931
2023-10,NA,Growth,Beta,415,0.924
2023-10,NA,Growth,Gamma,379,0.931
2023-10,NA,Growth,ServicesPlus,124,0.926
2023-10,NA,Services,Alpha,129,0.956
2023-10,NA,Services,Beta,266,0.929
2023-10,NA,Services,Gamma,223,0.921
2023-10,NA,Services,ServicesPlus,138,0.947
2023-10,EMEA,Core,Alpha,274,0.948
2023-10,EMEA,Core,Beta,188,0.903
2023-10,EMEA,Core,Gamma,319,0.929
2023-10,EMEA,Core,ServicesPlus,179,0.947
2023-10,EMEA,Growth,Alpha,242,0.965
2023-10,EMEA,Growth,Beta,153,0.951
2023-10,EMEA,Growth,Gamma,339,0.951
2023-10,EMEA,Growth,ServicesPlus,262,0.863
2023-10,EMEA,Services,Alpha,313,0.928
2023-10,EMEA,Services,Beta,338,0.897
2023-10,EMEA,Services,Gamma,311,0.928
2023-10,EMEA,Services,ServicesPlus,144,0.925
2023-10,APAC,Core,Alpha,141,0.909
2023-10,APAC,Core,Beta,369,0.944
2023-10,APAC,Core,Gamma,181,0.898
2023-10,APAC,Core,ServicesPlus,333,0.911
2023-10,APAC,Growth,Alpha,199,0.94
2023-10,APAC,Growth,Beta,288,0.972
2023-10,APAC,Growth,Gamma,367,0.913
2023-10,APAC,Growth,ServicesPlus,326,0.911
2023-10,APAC,Services,Alpha,353,0.954
2023-10,APAC,Services,Beta,271,0.901
2023-10,APAC,Services,Gamma,296,0.905
2023-10,APAC,Services,ServicesPlus,256,0.9
2023-11,NA,Core,Alpha,193,0.871
2023-11,NA,Core,Beta,307,0.916
2023-11,NA,Core,Gamma,169,0.951
2023-11,NA,Core,ServicesPlus,145,0.937
2023-11,NA,Growth,Alpha,197,0.896
2023-11,NA,Growth,Beta,492,0.948
2023-11,NA,Growth,Gamma,460,0.978
2023-11,NA,Growth,ServicesPlus,142,0.924
2023-11,NA,Services,Alpha,139,0.901
2023-11,NA,Services,Beta,305,0.927
2023-11,NA,Services,Gamma,253,0.912
2023-11,NA,Services,ServicesPlus,156,0.933
2023-11,EMEA,Core,Alpha,299,0.902
2023-11,EMEA,Core,Beta,227,0.952
2023-11,EMEA,Core,Gamma,355,0.9
2023-11,EMEA,Core,ServicesPlus,202,0.933
2023-11,EMEA,Growth,Alpha,276,0.952
2023-11,EMEA,Growth,Beta,164,0.884
2023-11,EMEA,Growth,Gamma,372,0.904
2023-11,EMEA,Growth,ServicesPlus,323,0.923
2023-11,EMEA,Services,Alpha,355,0.918
2023-11,EMEA,Services,Beta,387,0.895
2023-11,EMEA,Services,Gamma,370,0.961
2023-11,EMEA,Services,ServicesPlus,158,0.887
2023-11,APAC,Core,Alpha,163,0.915
2023-11,APAC,Core,Beta,407,0.905
2023-11,APAC,Core,Gamma,227,0.979
2023-11,APAC,Core,ServicesPlus,385,0.916
2023-11,APAC,Growth,Alpha,231,0.947
2023-11,APAC,Growth,Beta,334,0.977
2023-11,APAC,Growth,Gamma,450,0.969
2023-11,APAC,Growth,ServicesPlus,380,0.919
2023-11,APAC,Services,Alpha,379,0.892
2023-11,APAC,Services,Beta,317,0.914
2023-11,APAC,Services,Gamma,335,0.891
2023-11,APAC,Services,ServicesPlus,308,0.943
2023-12,NA,Core,Alpha,208,0.933
2023-12,NA,Core,Beta,332,0.983
2023-12,NA,Core,Gamma,166,0.925
2023-12,NA,Core,ServicesPlus,145,0.93
2023-12,NA,Growth,Alpha,204,0.919
2023-12,NA,Growth,Beta,502,0.957
2023-12,NA,Growth,Gamma,457,0.959
2023-12,NA,Growth,ServicesPlus,139,0.892
2023-12,NA,Services,Alpha,147,0.948
2023-12,NA,Services,Beta,309,0.932
2023-12,NA,Services,Gamma,256,0.913
2023-12,NA,Services,ServicesPlus,154,0.913
2023-12,EMEA,Core,Alpha,299,0.896
2023-12,EMEA,Core,Beta,213,0.884
2023-12,EMEA,Core,Gamma,373,0.937
2023-12,EMEA,Core,ServicesPlus,209,0.955
2023-12,EMEA,Growth,Alpha,283,0.968
2023-12,EMEA,Growth,Beta,172,0.917
2023-12,EMEA,Growth,Gamma,377,0.905
2023-12,EMEA,Growth,ServicesPlus,334,0.944
2023-12,EMEA,Services,Alpha,326,0.836
2023-12,EMEA,Services,Beta,420,0.965
2023-12,EMEA,Services,Gamma,359,0.925
2023-12,EMEA,Services,ServicesPlus,168,0.936
2023-12,APAC,Core,Alpha,168,0.935
2023-12,APAC,Core,Beta,425,0.936
2023-12,APAC,Core,Gamma,217,0.927
2023-12,APAC,Core,ServicesPlus,409,0.968
2023-12,APAC,Growth,Alpha,222,0.899
2023-12,APAC,Growth,Beta,339,0.977
2023-12,APAC,Growth,Gamma,462,0.979
2023-12,APAC,Growth,ServicesPlus,385,0.922
2023-12,APAC,Services,Alpha,381,0.89
2023-12,APAC,Services,Beta,318,0.91
2023-12,APAC,Services,Gamma,352,0.926
2023-12,APAC,Services,ServicesPlus,302,0.918
2024-01,NA,Core,Alpha,169,0.933
2024-01,NA,Core,Beta,262,0.953
2024-01,NA,Core,Gamma,130,0.891
2024-01,NA,Core,ServicesPlus,113,0.894
2024-01,NA,Growth,Alpha,171,0.943
2024-01,NA,Growth,Beta,379,0.885
2024-01,NA,Growth,Gamma,352,0.902
2024-01,NA,Growth,ServicesPlus,118,0.929
2024-01,NA,Services,Alpha,120,0.948
2024-01,NA,Services,Beta,267,0.99
2024-01,NA,Services,Gamma,201,0.882
2024-01,NA,Services,ServicesPlus,124,0.907
2024-01,EMEA,Core,Alpha,250,0.924
2024-01,EMEA,Core,Beta,184,0.938
2024-01,EMEA,Core,Gamma,305,0.943
2024-01,EMEA,Core,ServicesPlus,169,0.952
2024-01,EMEA,Growth,Alpha,215,0.899
2024-01,EMEA,Growth,Beta,145,0.947
2024-01,EMEA,Growth,Gamma,314,0.922
2024-01,EMEA,Growth,ServicesPlus,248,0.861
2024-01,EMEA,Services,Alpha,301,0.952
2024-01,EMEA,Services,Beta,317,0.895
2024-01,EMEA,Services,Gamma,304,0.961
2024-01,EMEA,Services,ServicesPlus,129,0.888
2024-01,APAC,Core,Alpha,136,0.93
2024-01,APAC,Core,Beta,355,0.962
2024-01,APAC,Core,Gamma,189,0.99
2024-01,APAC,Core,ServicesPlus,330,0.96
2024-01,APAC,Growth,Alpha,186,0.92
2024-01,APAC,Growth,Beta,261,0.921
2024-01,APAC,Growth,Gamma,367,0.951
2024-01,APAC,Growth,ServicesPlus,322,0.944
2024-01,APAC,Services,Alpha,321,0.921
2024-01,APAC,Services,Beta,270,0.948
2024-01,APAC,Services,Gamma,285,0.921
2024-01,APAC,Services,ServicesPlus,254,0.95
2024-02,NA,Core,Alpha,183,0.921
2024-02,NA,Core,Beta,270,0.897
2024-02,NA,Core,Gamma,146,0.913
2024-02,NA,Core,ServicesPlus,134,0.963
2024-02,NA,Growth,Alpha,194,0.972
2024-02,NA,Growth,Beta,423,0.896
2024-02,NA,Growth,Gamma,407,0.947
2024-02,NA,Growth,ServicesPlus,134,0.962
2024-02,NA,Services,Alpha,127,0.921
2024-02,NA,Services,Beta,285,0.965
2024-02,NA,Services,Gamma,235,0.941
2024-02,NA,Services,ServicesPlus,138,0.925
2024-02,EMEA,Core,Alpha,271,0.914
2024-02,EMEA,Core,Beta,203,0.947
2024-02,EMEA,Core,Gamma,338,0.952
2024-02,EMEA,Core,ServicesPlus,182,0.938
2024-02,EMEA,Growth,Alpha,246,0.94
2024-02,EMEA,Growth,Beta,152,0.904
2024-02,EMEA,Growth,Gamma,334,0.889
2024-02,EMEA,Growth,ServicesPlus,293,0.926
2024-02,EMEA,Services,Alpha,318,0.92
2024-02,EMEA,Services,Beta,352,0.907
2024-02,EMEA,Services,Gamma,331,0.957
2024-02,EMEA,Services,ServicesPlus,143,0.9
2024-02,APAC,Core,Alpha,146,0.911
2024-02,APAC,Core,Beta,384,0.948
2024-02,APAC,Core,Gamma,189,0.898
2024-02,APAC,Core,ServicesPlus,348,0.924
2024-02,APAC,Growth,Alpha,208,0.935
2024-02,APAC,Growth,Beta,293,0.938
2024-02,APAC,Growth,Gamma,402,0.943
2024-02,APAC,Growth,ServicesPlus,358,0.954
2024-02,APAC,Services,Alpha,348,0.913
2024-02,APAC,Services,Beta,289,0.927
2024-02,APAC,Services,Gamma,312,0.92
2024-02,APAC,Services,ServicesPlus,260,0.89
2024-03,NA,Core,Alpha,198,0.962
2024-03,NA,Core,Beta,287,0.918
2024-03,NA,Core,Gamma,160,0.962
2024-03,NA,Core,ServicesPlus,135,0.938
2024-03,NA,Growth,Alpha,199,0.958
2024-03,NA,Growth,Beta,446,0.906
2024-03,NA,Growth,Gamma,411,0.917
2024-03,NA,Growth,ServicesPlus,135,0.932
2024-03,NA,Services,Alpha,140,0.981
2024-03,NA,Services,Beta,269,0.88
2024-03,NA,Services,Gamma,236,0.911
2024-03,NA,Services,ServicesPlus,137,0.883
2024-03,EMEA,Core,Alpha,284,0.924
2024-03,EMEA,Core,Beta,210,0.943
2024-03,EMEA,Core,Gamma,355,0.961
2024-03,EMEA,Core,ServicesPlus,189,0.941
2024-03,EMEA,Growth,Alpha,267,0.977
2024-03,EMEA,Growth,Beta,166,0.943
2024-03,EMEA,Growth,Gamma,365,0.932
2024-03,EMEA,Growth,ServicesPlus,297,0.9
2024-03,EMEA,Services,Alpha,321,0.895
2024-03,EMEA,Services,Beta,356,0.886
2024-03,EMEA,Services,Gamma,334,0.929
2024-03,EMEA,Services,ServicesPlus,152,0.925
2024-03,APAC,Core,Alpha,152,0.91
2024-03,APAC,Core,Beta,384,0.91
2024-03,APAC,Core,Gamma,205,0.939
2024-03,APAC,Core,ServicesPlus,356,0.91
2024-03,APAC,Growth,Alpha,209,0.904
2024-03,APAC,Growth,Beta,289,0.884
2024-03,APAC,Growth,Gamma,419,0.941
2024-03,APAC,Growth,ServicesPlus,380,0.972
2024-03,APAC,Services,Alpha,369,0.932
2024-03,APAC,Services,Beta,307,0.947
2024-03,APAC,Services,Gamma,325,0.921
2024-03,APAC,Services,ServicesPlus,287,0.948
2024-04,NA,Core,Alpha,203,0.977
2024-04,NA,Core,Beta,291,0.923
2024-04,NA,Core,Gamma,156,0.93
2024-04,NA,Core,ServicesPlus,135,0.931
2024-04,NA,Growth,Alpha,188,0.898
2024-04,NA,Growth,Beta,490,0.984
2024-04,NA,Growth,Gamma,432,0.952
2024-04,NA,Growth,ServicesPlus,135,0.922
2024-04,NA,Services,Alpha,131,0.907
2024-04,NA,Services,Beta,283,0.919
2024-04,NA,Services,Gamma,245,0.937
2024-04,NA,Services,ServicesPlus,142,0.914
2024-04,EMEA,Core,Alpha,293,0.948
2024-04,EMEA,Core,Beta,206,0.92
2024-04,EMEA,Core,Gamma,344,0.925
2024-04,EMEA,Core,ServicesPlus,194,0.959
2024-04,EMEA,Growth,Alpha,260,0.943
2024-04,EMEA,Growth,Beta,167,0.939
2024-04,EMEA,Growth,Gamma,367,0.925
2024-04,EMEA,Growth,ServicesPlus,287,0.864
2024-04,EMEA,Services,Alpha,346,0.961
2024-04,EMEA,Services,Beta,384,0.948
2024-04,EMEA,Services,Gamma,345,0.953
2024-04,EMEA,Services,ServicesPlus,155,0.94
2024-04,APAC,Core,Alpha,154,0.92
2024-04,APAC,Core,Beta,393,0.925
2024-04,APAC,Core,Gamma,198,0.896
2024-04,APAC,Core,ServicesPlus,373,0.948
2024-04,APAC,Growth,Alpha,213,0.909
2024-04,APAC,Growth,Beta,307,0.928
2024-04,APAC,Growth,Gamma,408,0.904
2024-04,APAC,Growth,ServicesPlus,381,0.964
2024-04,APAC,Services,Alpha,369,0.927
2024-04,APAC,Services,Beta,313,0.958
2024-04,APAC,Services,Gamma,328,0.921
2024-04,APAC,Services,ServicesPlus,287,0.942
2024-05,NA,Core,Alpha,191,0.94
2024-05,NA,Core,Beta,292,0.946
2024-05,NA,Core,Gamma,155,0.941
2024-05,NA,Core,ServicesPlus,123,0.867
2024-05,NA,Growth,Alpha,196,0.95
2024-05,NA,Growth,Beta,459,0.937
2024-05,NA,Growth,Gamma,407,0.911
2024-05,NA,Growth,ServicesPlus,131,0.912
2024-05,NA,Services,Alpha,137,0.975
