month,region,bu,product_line,segment,orders,cancellations,backlog,avg_discount,asp
2023-01,EMEA,Core,Gamma,MidMarket,98,8,64,0.083,20920.66
2023-01,EMEA,Core,Gamma,Enterprise,63,4,46,0.058,19994.15
2023-01,EMEA,Core,ServicesPlus,SMB,74,3,59,0.146,18071.33
2023-01,EMEA,Core,ServicesPlus,MidMarket,56,5,32,0.126,19724.82
2023-01,EMEA,Core,ServicesPlus,Enterprise,34,2,26,0.07,20713.41
2023-01,EMEA,Growth,Alpha,SMB,93,6,69,0.206,17093.43
2023-01,EMEA,Growth,Alpha,MidMarket,80,4,51,0.136,18300.4
2023-01,EMEA,Growth,Alpha,Enterprise,45,2,27,0.086,20270.95
2023-01,EMEA,Growth,Beta,SMB,56,3,44,0.19,17661.69
2023-01,EMEA,Growth,Beta,MidMarket,47,2,37,0.137,18603.93
2023-01,EMEA,Growth,Beta,Enterprise,23,1,21,0.116,19566.82
2023-01,EMEA,Growth,Gamma,SMB,126,6,113,0.182,17401.13
2023-01,EMEA,Growth,Gamma,MidMarket,98,7,87,0.14,18695.37
2023-01,EMEA,Growth,Gamma,Enterprise,57,4,45,0.091,20156.65
2023-01,EMEA,Growth,ServicesPlus,SMB,119,5,99,0.207,17321.08
2023-01,EMEA,Growth,ServicesPlus,MidMarket,92,6,76,0.136,18688.34
2023-01,EMEA,Growth,ServicesPlus,Enterprise,51,2,48,0.108,19664.61
2023-01,EMEA,Services,Alpha,SMB,136,6,90,0.169,17639.75
2023-01,EMEA,Services,Alpha,MidMarket,82,6,77,0.115,19554.42
2023-01,EMEA,Services,Alpha,Enterprise,55,2,54,0.086,20567.87
2023-01,EMEA,Services,Beta,SMB,134,11,129,0.166,17887.17
2023-01,EMEA,Services,Beta,MidMarket,111,7,85,0.104,19244.56
2023-01,EMEA,Services,Beta,Enterprise,75,5,30,0.073,20295.9
2023-01,EMEA,Services,Gamma,SMB,136,7,103,0.174,18611.57
2023-01,EMEA,Services,Gamma,MidMarket,104,7,80,0.133,19265.16
2023-01,EMEA,Services,Gamma,Enterprise,58,2,41,0.082,20473.34
2023-01,EMEA,Services,ServicesPlus,SMB,67,4,48,0.175,18024.78
2023-01,EMEA,Services,ServicesPlus,MidMarket,45,2,42,0.113,19077.08
2023-01,EMEA,Services,ServicesPlus,Enterprise,24,1,13,0.068,20845.82
2023-01,APAC,Core,Alpha,SMB,61,4,38,0.168,18209.09
2023-01,APAC,Core,Alpha,MidMarket,52,5,39,0.103,19370.31
2023-01,APAC,Core,Alpha,Enterprise,27,2,14,0.091,19756.66
2023-01,APAC,Core,Beta,SMB,136,8,122,0.174,18719.34
2023-01,APAC,Core,Beta,MidMarket,111,8,101,0.116,19219.97
2023-01,APAC,Core,Beta,Enterprise,61,4,56,0.049,20703.5
2023-01,APAC,Core,Gamma,SMB,77,4,69,0.161,18976.94
2023-01,APAC,Core,Gamma,MidMarket,64,3,36,0.096,20162.04
2023-01,APAC,Core,Gamma,Enterprise,31,2,27,0.054,20374.11
2023-01,APAC,Core,ServicesPlus,SMB,167,15,92,0.167,18531.08
2023-01,APAC,Core,ServicesPlus,MidMarket,119,7,97,0.099,20285.73
2023-01,APAC,Core,ServicesPlus,Enterprise,68,5,63,0.058,21472.36
2023-01,APAC,Growth,Alpha,SMB,73,5,48,0.189,17734.25
2023-01,APAC,Growth,Alpha,MidMarket,64,4,49,0.132,18668.54
2023-01,APAC,Growth,Alpha,Enterprise,37,1,34,0.091,19838.54
2023-01,APAC,Growth,Beta,SMB,108,5,73,0.211,17401.95
2023-01,APAC,Growth,Beta,MidMarket,80,4,70,0.136,18968.44
2023-01,APAC,Growth,Beta,Enterprise,50,3,46,0.121,19223.02
2023-01,APAC,Growth,Gamma,SMB,139,7,87,0.21,17613.91
2023-01,APAC,Growth,Gamma,MidMarket,104,4,87,0.149,19247.2
2023-01,APAC,Growth,Gamma,Enterprise,64,5,40,0.107,19975.33
2023-01,APAC,Growth,ServicesPlus,SMB,134,10,81,0.201,17646.89
2023-01,APAC,Growth,ServicesPlus,MidMarket,99,4,70,0.145,18919.68
2023-01,APAC,Growth,ServicesPlus,Enterprise,60,3,42,0.125,19751.7
2023-01,APAC,Services,Alpha,SMB,158,8,117,0.171,18473.0
2023-01,APAC,Services,Alpha,MidMarket,92,6,66,0.115,18534.73
2023-01,APAC,Services,Alpha,Enterprise,68,3,63,0.063,20977.54
2023-01,APAC,Services,Beta,SMB,108,4,88,0.177,18297.68
2023-01,APAC,Services,Beta,MidMarket,89,5,79,0.118,18468.97
2023-01,APAC,Services,Beta,Enterprise,57,2,59,0.049,21012.63
2023-01,APAC,Services,Gamma,SMB,117,10,81,0.183,17630.59
2023-01,APAC,Services,Gamma,MidMarket,91,8,65,0.101,19865.92
2023-01,APAC,Services,Gamma,Enterprise,56,2,34,0.074,20361.84
2023-01,APAC,Services,ServicesPlus,SMB,114,6,63,0.156,18870.48
2023-01,APAC,Services,ServicesPlus,MidMarket,86,6,95,0.085,20908.22
2023-01,APAC,Services,ServicesPlus,Enterprise,50,3,56,0.081,20117.29
2023-02,NA,Core,Alpha,SMB,81,4,56,0.165,18528.29
2023-02,NA,Core,Alpha,MidMarket,70,5,54,0.122,19245.24
2023-02,NA,Core,Alpha,Enterprise,34,2,34,0.067,20461.53
2023-02,NA,Core,Beta,SMB,129,4,68,0.155,18446.9
2023-02,NA,Core,Beta,MidMarket,96,3,81,0.085,21429.2
2023-02,NA,Core,Beta,Enterprise,59,4,34,0.073,19648.85
2023-02,NA,Core,Gamma,SMB,68,5,48,0.137,18773.75
2023-02,NA,Core,Gamma,MidMarket,49,4,36,0.105,19875.59
2023-02,NA,Core,Gamma,Enterprise,32,2,23,0.055,21176.09
2023-02,NA,Core,ServicesPlus,SMB,56,2,32,0.137,18991.34
2023-02,NA,Core,ServicesPlus,MidMarket,51,4,40,0.109,20305.31
2023-02,NA,Core,ServicesPlus,Enterprise,25,2,7,0.058,20575.71
2023-02,NA,Growth,Alpha,SMB,81,4,53,0.204,17353.92
2023-02,NA,Growth,Alpha,MidMarket,61,5,42,0.149,18064.01
2023-02,NA,Growth,Alpha,Enterprise,32,2,13,0.108,19746.06
2023-02,NA,Growth,Beta,SMB,179,15,121,0.207,17064.99
2023-02,NA,Growth,Beta,MidMarket,130,6,91,0.142,18673.06
2023-02,NA,Growth,Beta,Enterprise,74,5,8,0.1,19747.36
2023-02,NA,Growth,Gamma,SMB,149,9,118,0.222,17500.35
2023-02,NA,Growth,Gamma,MidMarket,135,6,101,0.147,18643.68
2023-02,NA,Growth,Gamma,Enterprise,75,4,53,0.095,20290.91
2023-02,NA,Growth,ServicesPlus,SMB,64,5,41,0.189,17380.31
2023-02,NA,Growth,ServicesPlus,MidMarket,39,3,33,0.154,18888.6
2023-02,NA,Growth,ServicesPlus,Enterprise,24,2,11,0.112,19398.42
2023-02,NA,Services,Alpha,SMB,62,4,43,0.155,18713.37
2023-02,NA,Services,Alpha,MidMarket,43,2,28,0.083,19346.03
2023-02,NA,Services,Alpha,Enterprise,22,1,16,0.066,20254.7
2023-02,NA,Services,Beta,SMB,117,10,72,0.169,17883.84
2023-02,NA,Services,Beta,MidMarket,95,8,76,0.082,20938.05
2023-02,NA,Services,Beta,Enterprise,54,4,30,0.054,20759.43
2023-02,NA,Services,Gamma,SMB,110,7,73,0.166,17965.75
2023-02,NA,Services,Gamma,MidMarket,77,3,43,0.126,19124.96
2023-02,NA,Services,Gamma,Enterprise,51,3,39,0.099,19364.21
2023-02,NA,Services,ServicesPlus,SMB,57,4,44,0.169,18498.79
2023-02,NA,Services,ServicesPlus,MidMarket,38,2,34,0.109,20018.13
2023-02,NA,Services,ServicesPlus,Enterprise,29,1,12,0.084,19690.12
2023-02,EMEA,Core,Alpha,SMB,119,5,105,0.144,18362.54
2023-02,EMEA,Core,Alpha,MidMarket,104,8,59,0.088,19754.88
2023-02,EMEA,Core,Alpha,Enterprise,50,4,51,0.063,20310.7
2023-02,EMEA,Core,Beta,SMB,96,8,51,0.154,18075.96
2023-02,EMEA,Core,Beta,MidMarket,60,5,50,0.084,20631.79
2023-02,EMEA,Core,Beta,Enterprise,40,2,37,0.062,20678.85
2023-02,EMEA,Core,Gamma,SMB,135,9,102,0.148,18714.83
2023-02,EMEA,Core,Gamma,MidMarket,103,6,95,0.095,20116.15
2023-02,EMEA,Core,Gamma,Enterprise,58,3,55,0.06,20518.33
2023-02,EMEA,Core,ServicesPlus,SMB,76,4,45,0.16,18393.01
2023-02,EMEA,Core,ServicesPlus,MidMarket,69,6,32,0.117,18421.88
2023-02,EMEA,Core,ServicesPlus,Enterprise,36,2,31,0.044,21048.37
2023-02,EMEA,Growth,Alpha,SMB,100,3,74,0.195,17578.63
2023-02,EMEA,Growth,Alpha,MidMarket,76,4,57,0.139,18958.66
2023-02,EMEA,Growth,Alpha,Enterprise,46,3,21,0.125,19329.11
2023-02,EMEA,Growth,Beta,SMB,67,5,45,0.212,17596.47
2023-02,EMEA,Growth,Beta,MidMarket,53,2,36,0.134,18539.86
2023-02,EMEA,Growth,Beta,Enterprise,32,2,28,0.117,19667.82
2023-02,EMEA,Growth,Gamma,SMB,154,9,86,0.199,17906.62
2023-02,EMEA,Growth,Gamma,MidMarket,110,8,72,0.129,19065.97
2023-02,EMEA,Growth,Gamma,Enterprise,62,4,25,0.102,19878.41
2023-02,EMEA,Growth,ServicesPlus,SMB,131,11,103,0.21,17075.63
2023-02,EMEA,Growth,ServicesPlus,MidMarket,94,7,92,0.135,19356.28
2023-02,EMEA,Growth,ServicesPlus,Enterprise,51,2,48,0.109,19913.71
2023-02,EMEA,Services,Alpha,SMB,171,9,117,0.157,18094.09
2023-02,EMEA,Services,Alpha,MidMarket,115,10,89,0.097,19349.3
2023-02,EMEA,Services,Alpha,Enterprise,60,5,31,0.07,20718.33
2023-02,EMEA,Services,Beta,SMB,150,9,83,0.198,17969.04
2023-02,EMEA,Services,Beta,MidMarket,133,8,67,0.12,19257.55
2023-02,EMEA,Services,Beta,Enterprise,68,5,51,0.084,20399.72
2023-02,EMEA,Services,Gamma,SMB,147,13,97,0.157,19007.34
2023-02,EMEA,Services,Gamma,MidMarket,108,6,84,0.106,19678.93
2023-02,EMEA,Services,Gamma,Enterprise,63,5,50,0.087,20071.06
2023-02,EMEA,Services,ServicesPlus,SMB,68,6,50,0.152,18761.1
2023-02,EMEA,Services,ServicesPlus,MidMarket,54,2,45,0.115,19541.34
2023-02,EMEA,Services,ServicesPlus,Enterprise,30,1,18,0.091,20450.72
2023-02,APAC,Core,Alpha,SMB,65,5,46,0.162,19171.38
2023-02,APAC,Core,Alpha,MidMarket,56,4,31,0.124,19495.55
2023-02,APAC,Core,Alpha,Enterprise,30,1,10,0.053,20350.47
2023-02,APAC,Core,Beta,SMB,179,6,115,0.155,18586.63
2023-02,APAC,Core,Beta,MidMarket,124,6,79,0.099,19747.66
2023-02,APAC,Core,Beta,Enterprise,63,5,35,0.079,20167.42
2023-02,APAC,Core,Gamma,SMB,83,6,52,0.175,18629.63
2023-02,APAC,Core,Gamma,MidMarket,62,4,32,0.113,19851.5
2023-02,APAC,Core,Gamma,Enterprise,34,3,24,0.05,20921.34
2023-02,APAC,Core,ServicesPlus,SMB,151,5,128,0.171,18654.4
2023-02,APAC,Core,ServicesPlus,MidMarket,118,8,120,0.098,19960.62
2023-02,APAC,Core,ServicesPlus,Enterprise,66,5,47,0.059,20076.71
2023-02,APAC,Growth,Alpha,SMB,86,7,55,0.212,17670.56
2023-02,APAC,Growth,Alpha,MidMarket,72,3,59,0.139,19141.14
2023-02,APAC,Growth,Alpha,Enterprise,44,4,43,0.106,19325.42
2023-02,APAC,Growth,Beta,SMB,110,10,106,0.204,17103.19
2023-02,APAC,Growth,Beta,MidMarket,100,9,79,0.151,18611.1
2023-02,APAC,Growth,Beta,Enterprise,49,2,55,0.105,20089.32
2023-02,APAC,Growth,Gamma,SMB,162,9,101,0.192,17814.9
2023-02,APAC,Growth,Gamma,MidMarket,136,5,125,0.141,19146.46
2023-02,APAC,Growth,Gamma,Enterprise,70,5,58,0.096,20282.03
2023-02,APAC,Growth,ServicesPlus,SMB,159,7,110,0.183,17724.82
2023-02,APAC,Growth,ServicesPlus,MidMarket,108,9,86,0.138,19471.49
2023-02,APAC,Growth,ServicesPlus,Enterprise,59,5,64,0.094,20277.57
2023-02,APAC,Services,Alpha,SMB,150,8,146,0.169,18754.97
2023-02,APAC,Services,Alpha,MidMarket,127,9,68,0.116,19415.21
2023-02,APAC,Services,Alpha,Enterprise,66,6,57,0.076,20548.12
2023-02,APAC,Services,Beta,SMB,123,4,77,0.18,17646.19
2023-02,APAC,Services,Beta,MidMarket,88,4,93,0.124,19710.19
2023-02,APAC,Services,Beta,Enterprise,60,4,48,0.087,20454.88
2023-02,APAC,Services,Gamma,SMB,143,11,122,0.18,17831.72
2023-02,APAC,Services,Gamma,MidMarket,103,6,70,0.119,18756.6
2023-02,APAC,Services,Gamma,Enterprise,55,4,38,0.084,19887.09
2023-02,APAC,Services,ServicesPlus,SMB,130,11,103,0.183,18017.68
2023-02,APAC,Services,ServicesPlus,MidMarket,102,7,72,0.118,19328.75
2023-02,APAC,Services,ServicesPlus,Enterprise,55,2,51,0.068,20437.53
2023-03,NA,Core,Alpha,SMB,96,8,52,0.162,18625.71
2023-03,NA,Core,Alpha,MidMarket,65,4,45,0.123,18746.77
2023-03,NA,Core,Alpha,Enterprise,36,2,14,0.048,21160.49
2023-03,NA,Core,Beta,SMB,126,9,99,0.171,18127.95
2023-03,NA,Core,Beta,MidMarket,91,3,71,0.085,19596.98
2023-03,NA,Core,Beta,Enterprise,55,3,44,0.06,20080.36
2023-03,NA,Core,Gamma,SMB,68,3,41,0.149,18382.53
2023-03,NA,Core,Gamma,MidMarket,54,3,34,0.083,20184.69
2023-03,NA,Core,Gamma,Enterprise,31,2,29,0.049,21187.19
2023-03,NA,Core,ServicesPlus,SMB,56,4,53,0.141,18785.55
2023-03,NA,Core,ServicesPlus,MidMarket,50,3,28,0.119,19254.01
2023-03,NA,Core,ServicesPlus,Enterprise,25,1,15,0.066,20065.9
2023-03,NA,Growth,Alpha,SMB,83,3,47,0.189,17499.57
2023-03,NA,Growth,Alpha,MidMarket,72,6,42,0.119,19269.08
2023-03,NA,Growth,Alpha,Enterprise,37,2,21,0.089,19984.06
2023-03,NA,Growth,Beta,SMB,193,9,133,0.188,17546.05
2023-03,NA,Growth,Beta,MidMarket,158,8,134,0.134,18875.44
2023-03,NA,Growth,Beta,Enterprise,76,3,69,0.087,19190.61
2023-03,NA,Growth,Gamma,SMB,169,14,116,0.214,16839.56
2023-03,NA,Growth,Gamma,MidMarket,144,10,74,0.151,18903.57
2023-03,NA,Growth,Gamma,Enterprise,81,7,73,0.103,20161.24
2023-03,NA,Growth,ServicesPlus,SMB,68,2,40,0.207,17384.76
2023-03,NA,Growth,ServicesPlus,MidMarket,43,3,33,0.139,18586.68
2023-03,NA,Growth,ServicesPlus,Enterprise,27,2,12,0.095,19913.16
2023-03,NA,Services,Alpha,SMB,60,5,38,0.164,18186.69
2023-03,NA,Services,Alpha,MidMarket,42,3,32,0.114,19885.01
2023-03,NA,Services,Alpha,Enterprise,29,1,15,0.08,19674.44
2023-03,NA,Services,Beta,SMB,127,5,93,0.181,18163.41
2023-03,NA,Services,Beta,MidMarket,96,4,74,0.108,19921.3
2023-03,NA,Services,Beta,Enterprise,56,4,47,0.075,20783.13
2023-03,NA,Services,Gamma,SMB,106,6,53,0.158,18458.24
2023-03,NA,Services,Gamma,MidMarket,82,3,59,0.114,20266.52
2023-03,NA,Services,Gamma,Enterprise,48,3,16,0.077,19333.63
2023-03,NA,Services,ServicesPlus,SMB,69,2,40,0.161,18120.26
2023-03,NA,Services,ServicesPlus,MidMarket,52,3,29,0.119,19337.35
2023-03,NA,Services,ServicesPlus,Enterprise,29,1,17,0.061,20656.35
2023-03,EMEA,Core,Alpha,SMB,127,9,80,0.171,18573.77
2023-03,EMEA,Core,Alpha,MidMarket,96,7,47,0.101,19547.12
2023-03,EMEA,Core,Alpha,Enterprise,60,2,51,0.059,20813.89
2023-03,EMEA,Core,Beta,SMB,93,4,57,0.158,18785.03
2023-03,EMEA,Core,Beta,MidMarket,66,4,44,0.098,20099.42
2023-03,EMEA,Core,Beta,Enterprise,39,2,20,0.07,20449.26
2023-03,EMEA,Core,Gamma,SMB,130,8,94,0.162,18855.42
2023-03,EMEA,Core,Gamma,MidMarket,114,9,96,0.123,19725.68
2023-03,EMEA,Core,Gamma,Enterprise,75,6,57,0.059,20978.39
2023-03,EMEA,Core,ServicesPlus,SMB,78,4,61,0.169,17723.95
2023-03,EMEA,Core,ServicesPlus,MidMarket,66,5,47,0.109,19792.62
2023-03,EMEA,Core,ServicesPlus,Enterprise,38,3,25,0.048,20837.88
2023-03,EMEA,Growth,Alpha,SMB,102,6,71,0.201,17450.86
2023-03,EMEA,Growth,Alpha,MidMarket,81,6,56,0.151,18518.13
2023-03,EMEA,Growth,Alpha,Enterprise,48,4,25,0.092,20981.85
2023-03,EMEA,Growth,Beta,SMB,66,4,36,0.198,17544.28
2023-03,EMEA,Growth,Beta,MidMarket,61,6,36,0.123,19392.97
2023-03,EMEA,Growth,Beta,Enterprise,30,1,12,0.093,19996.88
2023-03,EMEA,Growth,Gamma,SMB,151,12,61,0.213,17470.08
2023-03,EMEA,Growth,Gamma,MidMarket,115,5,44,0.151,18818.66
2023-03,EMEA,Growth,Gamma,Enterprise,67,2,43,0.108,19035.67
2023-03,EMEA,Growth,ServicesPlus,SMB,131,8,74,0.214,17350.08
2023-03,EMEA,Growth,ServicesPlus,MidMarket,102,5,45,0.14,19498.34
2023-03,EMEA,Growth,ServicesPlus,Enterprise,56,3,40,0.11,19861.53
2023-03,EMEA,Services,Alpha,SMB,142,7,95,0.187,17835.09
2023-03,EMEA,Services,Alpha,MidMarket,112,5,89,0.094,20544.56
2023-03,EMEA,Services,Alpha,Enterprise,68,5,24,0.071,20352.76
2023-03,EMEA,Services,Beta,SMB,182,11,115,0.155,18897.67
2023-03,EMEA,Services,Beta,MidMarket,123,6,86,0.109,19585.57
2023-03,EMEA,Services,Beta,Enterprise,73,3,53,0.078,20785.56
2023-03,EMEA,Services,Gamma,SMB,137,8,103,0.166,18755.4
2023-03,EMEA,Services,Gamma,MidMarket,119,6,57,0.103,19411.53
2023-03,EMEA,Services,Gamma,Enterprise,62,5,45,0.052,21454.27
2023-03,EMEA,Services,ServicesPlus,SMB,71,4,51,0.169,18576.51
2023-03,EMEA,Services,ServicesPlus,MidMarket,57,4,33,0.111,19250.54
2023-03,EMEA,Services,ServicesPlus,Enterprise,30,1,20,0.062,21001.75
2023-03,APAC,Core,Alpha,SMB,70,3,44,0.16,18579.82
2023-03,APAC,Core,Alpha,MidMarket,52,3,36,0.094,20687.35
2023-03,APAC,Core,Alpha,Enterprise,32,2,1,0.04,21839.26
2023-03,APAC,Core,Beta,SMB,155,5,114,0.164,18472.27
2023-03,APAC,Core,Beta,MidMarket,139,12,60,0.105,19490.54
2023-03,APAC,Core,Beta,Enterprise,72,6,25,0.054,21324.23
2023-03,APAC,Core,Gamma,SMB,93,8,59,0.169,18403.95
2023-03,APAC,Core,Gamma,MidMarket,70,3,42,0.089,19675.36
2023-03,APAC,Core,Gamma,Enterprise,39,3,30,0.048,21118.22
2023-03,APAC,Core,ServicesPlus,SMB,168,9,87,0.164,18202.93
2023-03,APAC,Core,ServicesPlus,MidMarket,131,6,89,0.108,19940.4
2023-03,APAC,Core,ServicesPlus,Enterprise,82,5,80,0.06,21335.92
2023-03,APAC,Growth,Alpha,SMB,89,5,62,0.202,17630.71
2023-03,APAC,Growth,Alpha,MidMarket,82,3,40,0.145,19257.32
2023-03,APAC,Growth,Alpha,Enterprise,38,3,20,0.099,20140.19
2023-03,APAC,Growth,Beta,SMB,123,10,75,0.21,17593.49
2023-03,APAC,Growth,Beta,MidMarket,91,4,69,0.144,18251.35
2023-03,APAC,Growth,Beta,Enterprise,54,4,15,0.098,20192.21
2023-03,APAC,Growth,Gamma,SMB,159,11,112,0.199,17358.22
2023-03,APAC,Growth,Gamma,MidMarket,140,9,76,0.144,18903.04
2023-03,APAC,Growth,Gamma,Enterprise,73,3,45,0.11,19460.34
2023-03,APAC,Growth,ServicesPlus,SMB,140,10,108,0.205,17628.16
2023-03,APAC,Growth,ServicesPlus,MidMarket,113,5,114,0.141,18837.89
2023-03,APAC,Growth,ServicesPlus,Enterprise,62,5,51,0.134,18871.42
2023-03,APAC,Services,Alpha,SMB,164,13,116,0.178,18443.91
2023-03,APAC,Services,Alpha,MidMarket,137,8,95,0.114,19454.08
2023-03,APAC,Services,Alpha,Enterprise,84,3,37,0.065,20485.34
2023-03,APAC,Services,Beta,SMB,128,6,94,0.162,19198.51
2023-03,APAC,Services,Beta,MidMarket,102,5,58,0.092,19658.96
2023-03,APAC,Services,Beta,Enterprise,55,4,19,0.054,20856.25
2023-03,APAC,Services,Gamma,SMB,142,5,88,0.171,18254.7
2023-03,APAC,Services,Gamma,MidMarket,108,5,96,0.097,20836.14
2023-03,APAC,Services,Gamma,Enterprise,63,3,50,0.056,20983.14
2023-03,APAC,Services,ServicesPlus,SMB,129,5,70,0.181,17888.99
2023-03,APAC,Services,ServicesPlus,MidMarket,115,8,52,0.102,20191.57
2023-03,APAC,Services,ServicesPlus,Enterprise,54,4,17,0.065,20979.94
2023-04,NA,Core,Alpha,SMB,99,3,59,0.148,18811.17
2023-04,NA,Core,Alpha,MidMarket,55,5,24,0.091,19933.96
2023-04,NA,Core,Alpha,Enterprise,41,4,25,0.074,19899.28
2023-04,NA,Core,Beta,SMB,140,6,88,0.169,17876.47
2023-04,NA,Core,Beta,MidMarket,103,8,57,0.088,19624.04
2023-04,NA,Core,Beta,Enterprise,60,2,45,0.064,20523.48
2023-04,NA,Core,Gamma,SMB,68,3,53,0.182,18386.08
2023-04,NA,Core,Gamma,MidMarket,49,2,31,0.114,18899.13
2023-04,NA,Core,Gamma,Enterprise,31,2,41,0.068,20263.26
2023-04,NA,Core,ServicesPlus,SMB,55,4,39,0.177,17875.74
2023-04,NA,Core,ServicesPlus,MidMarket,49,3,35,0.098,21067.55
2023-04,NA,Core,ServicesPlus,Enterprise,27,1,18,0.064,20648.55
2023-04,NA,Growth,Alpha,SMB,79,3,61,0.21,17452.07
2023-04,NA,Growth,Alpha,MidMarket,54,2,43,0.13,19938.58
2023-04,NA,Growth,Alpha,Enterprise,42,2,27,0.098,19975.96
2023-04,NA,Growth,Beta,SMB,180,16,134,0.202,17558.99
2023-04,NA,Growth,Beta,MidMarket,162,9,100,0.162,19075.17
2023-04,NA,Growth,Beta,Enterprise,93,5,49,0.094,19378.77
2023-04,NA,Growth,Gamma,SMB,172,12,97,0.198,17926.9
2023-04,NA,Growth,Gamma,MidMarket,133,8,89,0.155,18700.83
2023-04,NA,Growth,Gamma,Enterprise,72,5,54,0.115,19296.94
2023-04,NA,Growth,ServicesPlus,SMB,58,4,37,0.208,17910.47
2023-04,NA,Growth,ServicesPlus,MidMarket,47,2,36,0.146,18519.56
2023-04,NA,Growth,ServicesPlus,Enterprise,24,2,18,0.107,19375.2
2023-04,NA,Services,Alpha,SMB,56,4,24,0.177,18556.26
2023-04,NA,Services,Alpha,MidMarket,49,2,24,0.116,19604.93
2023-04,NA,Services,Alpha,Enterprise,28,2,8,0.08,19846.48
2023-04,NA,Services,Beta,SMB,138,10,95,0.172,17727.27
2023-04,NA,Services,Beta,MidMarket,101,7,40,0.123,19808.82
2023-04,NA,Services,Beta,Enterprise,52,3,37,0.064,20337.77
2023-04,NA,Services,Gamma,SMB,106,7,78,0.164,17992.72
2023-04,NA,Services,Gamma,MidMarket,82,7,44,0.097,19566.09
2023-04,NA,Services,Gamma,Enterprise,42,2,31,0.075,19825.2
2023-04,NA,Services,ServicesPlus,SMB,60,5,40,0.188,17769.17
2023-04,NA,Services,ServicesPlus,MidMarket,53,3,34,0.095,19423.84
2023-04,NA,Services,ServicesPlus,Enterprise,30,2,12,0.067,20525.76
2023-04,EMEA,Core,Alpha,SMB,140,12,78,0.16,19331.22
2023-04,EMEA,Core,Alpha,MidMarket,115,7,50,0.093,20357.41
2023-04,EMEA,Core,Alpha,Enterprise,57,2,49,0.047,20697.55
2023-04,EMEA,Core,Beta,SMB,92,4,58,0.163,18366.29
2023-04,EMEA,Core,Beta,MidMarket,66,2,41,0.1,20724.62
